"M";"Z";"meanNor";"sdNor";"lPois";"k";"c";"p";"h";"gInfo";"gStoc";"reduc";"ratio";"ratioMmD"
20;7;0;1;5;0;100;250;10;-842.355679154202;-907.121436402578;0.0713970088781287;15;4
20;7;0;1;5;0;100;500;10;-1353.44408029494;-1537.38735441782;0.119646667831829;40;4
20;7;0;1;5;0;100;750;10;-1862.70115667018;-2166.69972780463;0.140304891920798;65;4
20;7;0;1;5;0;100;1000;10;-2371.87338791385;-2795.5488254065;0.151553581766201;90;4
20;7;0;1;5;0;100;1250;10;-2881.03690050671;-3424.18606295214;0.158621392780613;115;4
20;7;0;1;5;0;100;1500;10;-3390.15554850897;-4052.82330048132;0.163507684110889;140;4
20;7;0;1;2;0;100;1000;10;-439.983636172131;-460.818491079713;0.0452127145739436;90;10
20;7;0;1;3;0;100;1000;10;-985.404672299278;-1120.93315851329;0.120906840148939;90;6.66666666666667
20;7;0;1;4;0;100;1000;10;-1649.15903193203;-1962.03461148057;0.15946486250436;90;5
20;7;0;1;5;0;100;1000;10;-2371.87338791385;-2795.5488254065;0.151553581766201;90;4
20;7;0;1;6;0;100;1000;10;-3140.5169087728;-3627.48835196763;0.134244798589273;90;3.33333333333333
20;7;0;1;7;0;100;1000;10;-3947.39246247171;-4484.03046557271;0.119677599699908;90;2.85714285714286
20;7;0;1;10;0;100;1000;10;-6540.15185647121;-7167.56171577618;0.0875346295134103;90;2
20;7;0;1;15;0;100;1000;10;-11208.5365216654;-11870.4950920146;0.0557650346694014;90;1.33333333333333
20;7;0;1;20;0;100;1000;10;-15964.3666078933;-16611.0129767021;0.0389287739234033;90;1
20;7;0;1;5;0;100;1000;10;-2371.87338791385;-2795.5488254065;0.151553581766201;90;4
20;7;0;5;5;0;100;1000;10;-2060.44021689378;-2802.07136688612;0.264672470072201;90;4
20;7;0;10;5;0;100;1000;10;-1675.83000342131;-2804.59448972346;0.402469765393232;90;4
20;7;0;15;5;0;100;1000;10;-1524.224212767;-2805.18105248486;0.456639630651711;90;4
20;7;0;20;5;0;100;1000;10;-1446.48226457343;-2805.4888930038;0.484409912232906;90;4
20;7;0;25;5;0;100;1000;10;-1399.61140025825;-2805.67725166942;0.501150248331143;90;4
20;7;0;50;5;0;100;1000;10;-1306.17866320159;-2806.06021380561;0.534515098152459;90;4
20;7;1;5;5;0;100;1000;10;-2478.63317316384;-2999.60578858539;0.173680360734082;90;4
20;7;-1;5;5;0;100;1000;10;-1635.45083714582;-2544.8429571292;0.357347048640381;90;4
20;5;0;1;5;0;100;1000;10;-1963.52911264513;-2292.40801038246;0.143464381666709;90;4
20;7;0;1;5;0;100;1000;10;-2371.87338791385;-2795.5488254065;0.151553581766201;90;4
20;10;0;1;5;0;100;1000;10;-2764.30238487933;-3181.56318843147;0.131149620120496;90;4
20;12;0;1;5;0;100;1000;10;-2951.95024745542;-3360.34696426127;0.121534091910546;90;4
20;15;0;1;5;0;100;1000;10;-3169.45354727559;-3567.41055472876;0.111553464718452;90;4
20;20;0;1;5;0;100;1000;10;-3429.18015065376;-3814.11297797687;0.100923289253819;90;4
20;7;0;1;5;0;100;150;50;-683.209661269163;-699.169689597064;0.0228271170294851;1;4
20;7;0;1;5;0;100;150;60;-687.887425796296;-703.422154084402;0.0220845024540435;0.833333333333333;4
20;7;0;1;5;0;100;150;70;-691.716379237893;-706.063002720749;0.0203191831714353;0.714285714285714;4
20;7;0;1;5;0;100;150;80;-694.646426103436;-708.674346513771;0.0197945932138565;0.625;4
20;7;0;1;5;0;100;150;90;-697.300805837571;-711.008965804062;0.0192798693487474;0.555555555555556;4
20;7;0;1;5;0;100;150;100;-699.576477547023;-712.403765554748;0.0180056431870992;0.5;4
20;7;0;1;5;0;100;150;150;-706.878402433295;-718.563215060382;0.0162613565267253;0.333333333333333;4
20;7;0;1;5;0;100;150;200;-711.478775176174;-721.747138617262;0.0142270926917146;0.25;4
20;7;0;1;5;0;100;110;10;-536.642039446982;-539.8339619384;0.00591278562755981;1;4
20;7;0;1;5;0;100;105;10;-519.957709945284;-521.240393351901;0.00246082886702004;0.5;4
20;7;0;1;5;0;100;100;10;-500;-500;-4.44089209850063e-16;0;4
20;7;0;1;5;0;50;100;50;-433.209594285571;-449.16967453289;0.0355324082462072;1;4
20;7;0;1;5;0;75;100;50;-474.788256059329;-481.20188751762;0.0133283588960474;0.5;4
20;7;0;1;5;0;100;100;50;-500;-500;0;0;4
20;7;0;1;5;0;90;100;10;-486.642025983085;-489.833958881328;0.00651635690088159;1;4
20;7;0;1;5;0;90;100;50;-492.968700759883;-494.811721132875;0.00372469020897959;0.2;4
20;7;0;1;5;0;90;100;100;-494.757080077051;-496.220525833866;0.00294918424496116;0.1;4
20;7;0;1;5;0;100;100;75;-500;-500;-2.22044604925031e-16;0;4
20;7;0;1;5;0;100;125;75;-603.439231193826;-609.281616773651;0.00958897399656156;0.333333333333333;4
20;7;0;1;5;0;100;150;75;-693.232382803309;-707.376227953172;0.0199947985116617;0.666666666666667;4
20;7;0;1;5;0;100;175;75;-774.814424869843;-798.754519228816;0.0299717795425897;1;4
20;7;0;1;5;0;100;100;10;-500;-500;-4.44089209850063e-16;0;4
20;7;0;1;5;0;100;100;25;-500;-500;5.55111512312578e-16;0;4
20;7;0;1;5;0;100;100;50;-500;-500;0;0;4
20;7;0;1;5;0;100;101;10;-504.475726388262;-504.622057604661;0.000289981807559458;0.1;4
20;7;0;1;5;0;100;101;25;-504.709778023395;-504.792638693539;0.000164147936781767;0.04;4
20;7;0;1;5;0;100;101;50;-504.769955677594;-504.835276362402;0.000129390095872095;0.02;4
